Token_Original,Skill_Standard_Internasional
.NET 4.5 +,.Net 4.5 +
.NET C#,.NET C#
.NET CORE,.NET Core
.NET Core 2.0+,.Net Core 2.0+
.NET Developer,.NET Developer
.NET Developer (Only Local Candidates - Detroit),.NET Developer (Only Local Candidates - Detroit)
.NET Developers,.NET Developers
.NET Developers (Kochi/Trivandrum),.NET Developers (Kochi/Trivandrum)
.NET Framework,.NET Framework
.NET Full-Stack Developer,.NET Full-Stack Developer
.NET Full-Stack Web Developer,.NET Full-Stack Web Developer
.NET Integration,.NET Integration
.NET MVC,.NET MVC
.NET/Azure Developers,.NET/Azure Developers
.NET/C#,.NET/C#
.Net Full Stack- Developer/Senior Developer/Lead,.Net Full Stack- Developer/Senior Developer/Lead
.Net Web Developer- Movimento,.Net Web Developer- Movimento
.Net development,.Net development
.Net/Web Development,.Net/Web Development
.Netcore,.Netcore
.net,.NET
.net Core Developer,.net Core Developer
.net Development Professionals,.net Development Professionals
.net MVC Developer,.net MVC Developer
.net c# Architect  /  Senior Designer,.net c# Architect  /  Senior Designer
.netDEVELOPER,.netDEVELOPER
.netframework,.Netframework
.netsqlc#asp.netmvc,.Netsqlc#Asp.Netmvc
.nettechnologies,.Nettechnologies
.sas7bdat,.Sas7Bdat
/16/32 bit microcontrollers,/16/32 Bit Microcontrollers
/VR,/VR
02 years of related work experience,02 Years Of Related Work Experience
0247 Project Associate,0247 Project Associate
0644 - D̩veloppeur Big Data,0644 - D̩veloppeur Big Data
100% ONSITE: Bigdata Developer,100% ONSITE: Bigdata Developer
100% REMOTE Mid-Level Data Engineer [23-00287],100% REMOTE Mid-Level Data Engineer [23-00287]
10025 - Big Data Engineer,10025 - Big Data Engineer
10604 - Big Data Engineer,10604 - Big Data Engineer
1061736|Manager - Big Data Consultant|Analytics|Analytics|EXL Datasource|EXL Datasource|Analytics||Manager|Analytics,1061736|Manager - Big Data Consultant|Analytics|Analytics|EXL Datasource|EXL Datasource|Analytics||Manager|Analytics
11g,11G
12Factor App Concepts,12Factor App Concepts
12Twenty,12Twenty
12factor.net,12Factor.Net
14 CFR parts 23/25/91/135,14 Cfr Parts 23/25/91/135
17th Edition 7671,17Th Edition 7671
2.X Versions,2.X Versions
2008R2,2008R2
2016 Enterprise and Azure,2016 Enterprise And Azure
2019 GDI&A Summer Intern,2019 GDI&A Summer Intern
2019 MS&S_Service Engineering Operations_Technical Support Analyst_Int,2019 MS&S_Service Engineering Operations_Technical Support Analyst_Int
21 CFR Part 11,21 Cfr Part 11
2392 testing and inspection,2392 Testing And Inspection
24 X 7 Shift,24 X 7 Shift
2D ARTIST/ANIMATOR,2D Artist/Animator
2D Animation,2D Animation
2D Web Game Developer,2D Web Game Developer
2D/3D Animation,2D/3D Animation
3-Tier Systems,3-Tier Systems
30Wpm,30Wpm
340B Program,340B Program
